series,section,number,name,price,image_url
"ST01",SR,ST01-012,モンキー・D・ルフィ,120 円,https://card.yuyu-tei.jp/opc/100_140/st01/10012.jpg
"ST01",SR,ST01-013,ロロノア・ゾロ,120 円,https://card.yuyu-tei.jp/opc/100_140/st01/10013.jpg
"ST01",C,ST01-002,ウソップ,80 円,https://card.yuyu-tei.jp/opc/100_140/st01/10002.jpg
"ST01",C,ST01-003,カルー,80 円,https://card.yuyu-tei.jp/opc/100_140/st01/10003.jpg
"ST01",C,ST01-004,サンジ,120 円,https://card.yuyu-tei.jp/opc/100_140/st01/10004.jpg
"ST01",C,ST01-005,ジンベエ,80 円,https://card.yuyu-tei.jp/opc/100_140/st01/10005.jpg
"ST01",C,ST01-006,トニートニー・チョッパー,50 円,https://card.yuyu-tei.jp/opc/100_140/st01/10006.jpg
"ST01",C,ST01-007,ナミ,120 円,https://card.yuyu-tei.jp/opc/100_140/st01/10007.jpg
"ST01",C,ST01-008,ニコ・ロビン,80 円,https://card.yuyu-tei.jp/opc/100_140/st01/10008.jpg
"ST01",C,ST01-009,ネフェルタリ・ビビ,80 円,https://card.yuyu-tei.jp/opc/100_140/st01/10009.jpg
"ST01",C,ST01-010,フランキー,80 円,https://card.yuyu-tei.jp/opc/100_140/st01/10010.jpg
"ST01",C,ST01-011,ブルック,120 円,https://card.yuyu-tei.jp/opc/100_140/st01/10011.jpg
"ST01",C,ST01-014,毛皮強化,120 円,https://card.yuyu-tei.jp/opc/100_140/st01/10014.jpg
"ST01",C,ST01-015,ゴムゴムのJET銃,120 円,https://card.yuyu-tei.jp/opc/100_140/st01/10015.jpg
"ST01",C,ST01-016,悪魔風脚,120 円,https://card.yuyu-tei.jp/opc/100_140/st01/10016.jpg
"ST01",C,ST01-017,サウザンド・サニー号,80 円,https://card.yuyu-tei.jp/opc/100_140/st01/10017.jpg
"ST01",L,ST01-001,モンキー・D・ルフィ,220 円,https://card.yuyu-tei.jp/opc/100_140/st01/10001.jpg
"ST01",L,ST01-001,モンキー・D・ルフィ(パラレル),"5,980 円",https://card.yuyu-tei.jp/opc/100_140/st01/10018.jpg
"ST02",SR,ST02-009,トラファルガー・ロー,120 円,https://card.yuyu-tei.jp/opc/100_140/st02/10009.jpg
"ST02",SR,ST02-013,ユースタス・キッド,120 円,https://card.yuyu-tei.jp/opc/100_140/st02/10013.jpg
"ST02",C,ST02-002,ヴィト,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10002.jpg
"ST02",C,ST02-003,ウルージ,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10003.jpg
"ST02",C,ST02-004,カポネ・ベッジ,50 円,https://card.yuyu-tei.jp/opc/100_140/st02/10004.jpg
"ST02",C,ST02-005,キラー,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10005.jpg
"ST02",C,ST02-006,コビー,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10006.jpg
"ST02",C,ST02-007,ジュエリー・ボニー,120 円,https://card.yuyu-tei.jp/opc/100_140/st02/10007.jpg
"ST02",C,ST02-008,スクラッチメン・アプー,120 円,https://card.yuyu-tei.jp/opc/100_140/st02/10008.jpg
"ST02",C,ST02-010,バジル・ホーキンス,120 円,https://card.yuyu-tei.jp/opc/100_140/st02/10010.jpg
"ST02",C,ST02-011,ヒート,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10011.jpg
"ST02",C,ST02-012,ベポ,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10012.jpg
"ST02",C,ST02-014,X・ドレーク,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10014.jpg
"ST02",C,ST02-015,メス,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10015.jpg
"ST02",C,ST02-016,反発,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10016.jpg
"ST02",C,ST02-017,藁備手刀,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10017.jpg
"ST02",L,ST02-001,ユースタス・キッド,120 円,https://card.yuyu-tei.jp/opc/100_140/st02/10001.jpg
"ST02",L,ST02-001,ユースタス・キッド(パラレル),220 円,https://card.yuyu-tei.jp/opc/100_140/st02/10018.jpg
"ST03",SR,ST03-009,ドンキホーテ・ドフラミンゴ,120 円,https://card.yuyu-tei.jp/opc/100_140/st03/10009.jpg
"ST03",C,ST03-002,エドワード・ウィーブル,30 円,https://card.yuyu-tei.jp/opc/100_140/st03/10002.jpg
"ST03",C,ST03-004,ゲッコー・モリア,120 円,https://card.yuyu-tei.jp/opc/100_140/st03/10004.jpg
"ST03",C,ST03-005,ジュラキュール・ミホーク,50 円,https://card.yuyu-tei.jp/opc/100_140/st03/10005.jpg
"ST03",C,ST03-006,ジンベエ,80 円,https://card.yuyu-tei.jp/opc/100_140/st03/10006.jpg
"ST03",C,ST03-007,戦桃丸,120 円,https://card.yuyu-tei.jp/opc/100_140/st03/10007.jpg
"ST03",C,ST03-008,トラファルガー・ロー,50 円,https://card.yuyu-tei.jp/opc/100_140/st03/10008.jpg
"ST03",C,ST03-010,バーソロミュー・くま,80 円,https://card.yuyu-tei.jp/opc/100_140/st03/10010.jpg
"ST03",C,ST03-011,バギー,80 円,https://card.yuyu-tei.jp/opc/100_140/st03/10011.jpg
"ST03",C,ST03-012,パシフィスタ,80 円,https://card.yuyu-tei.jp/opc/100_140/st03/10012.jpg
"ST03",C,ST03-013,ボア・ハンコック,80 円,https://card.yuyu-tei.jp/opc/100_140/st03/10013.jpg
